Alphabetic code,Currency,Numeric code,Minor unit,Entity
TWD,New Taiwan Dollar,901,2,TAIWAN (PROVINCE OF CHINA)
TZS,Tanzanian Shilling,834,2,"TANZANIA, UNITED REPUBLIC OF"
UAH,Hryvnia,980,2,UKRAINE
UGX,Uganda Shilling,800,0,UGANDA
USD,US Dollar,840,2,AMERICAN SAMOA
USD,US Dollar,840,2,"BONAIRE, SINT EUSTATIUS AND SABA"
USD,US Dollar,840,2,BRITISH INDIAN OCEAN TERRITORY (THE)
USD,US Dollar,840,2,ECUADOR
USD,US Dollar,840,2,EL SALVADOR
USD,US Dollar,840,2,GUAM
USD,US Dollar,840,2,HAITI
USD,US Dollar,840,2,MARSHALL ISLANDS (THE)
USD,US Dollar,840,2,MICRONESIA (FEDERATED STATES OF)
USD,US Dollar,840,2,NORTHERN MARIANA ISLANDS (THE)
USD,US Dollar,840,2,PALAU
USD,US Dollar,840,2,PANAMA
USD,US Dollar,840,2,PUERTO RICO
USD,US Dollar,840,2,TIMOR-LESTE
USD,US Dollar,840,2,TURKS AND CAICOS ISLANDS (THE)
USD,US Dollar,840,2,UNITED STATES MINOR OUTLYING ISLANDS (THE)
USD,US Dollar,840,2,UNITED STATES OF AMERICA (THE)
USD,US Dollar,840,2,VIRGIN ISLANDS (BRITISH)
USD,US Dollar,840,2,VIRGIN ISLANDS (U.S.)
USN,US Dollar (Next day),997,2,UNITED STATES OF AMERICA (THE)
UYI,Uruguay Peso en Unidades Indexadas (URUIURUI),940,0,URUGUAY
UYU,Peso Uruguayo,858,2,URUGUAY
UZS,Uzbekistan Sum,860,2,UZBEKISTAN
VEF,Bolivar,937,2,VENEZUELA (BOLIVARIAN REPUBLIC OF)
VND,Dong,704,0,VIET NAM
VUV,Vatu,548,0,VANUATU
WST,Tala,882,2,SAMOA
XAF,CFA Franc BEAC,950,0,CAMEROON
XAF,CFA Franc BEAC,950,0,CENTRAL AFRICAN REPUBLIC (THE)
XAF,CFA Franc BEAC,950,0,CHAD
XAF,CFA Franc BEAC,950,0,CONGO (THE)
XAF,CFA Franc BEAC,950,0,EQUATORIAL GUINEA
XAF,CFA Franc BEAC,950,0,GABON
XCD,East Caribbean Dollar,951,2,ANGUILLA
XCD,East Caribbean Dollar,951,2,ANTIGUA AND BARBUDA
XCD,East Caribbean Dollar,951,2,DOMINICA
XCD,East Caribbean Dollar,951,2,GRENADA
XCD,East Caribbean Dollar,951,2,MONTSERRAT
XCD,East Caribbean Dollar,951,2,SAINT KITTS AND NEVIS
XCD,East Caribbean Dollar,951,2,SAINT LUCIA
XCD,East Caribbean Dollar,951,2,SAINT VINCENT AND THE GRENADINES
XOF,CFA Franc BCEAO,952,0,BENIN
XOF,CFA Franc BCEAO,952,0,BURKINA FASO
XOF,CFA Franc BCEAO,952,0,CÔTE D'IVOIRE
XOF,CFA Franc BCEAO,952,0,GUINEA-BISSAU
XOF,CFA Franc BCEAO,952,0,MALI
XOF,CFA Franc BCEAO,952,0,NIGER (THE)
XOF,CFA Franc BCEAO,952,0,SENEGAL
XOF,CFA Franc BCEAO,952,0,TOGO
XPF,CFP Franc,953,0,FRENCH POLYNESIA
XPF,CFP Franc,953,0,NEW CALEDONIA
XPF,CFP Franc,953,0,WALLIS AND FUTUNA
XXX,No universal currency,0,,ANTARCTICA
YER,Yemeni Rial,886,2,YEMEN
ZAR,Rand,710,2,LESOTHO
ZAR,Rand,710,2,NAMIBIA
ZAR,Rand,710,2,SOUTH AFRICA
ZMW,Zambian Kwacha,967,2,ZAMBIA
ZWL,Zimbabwe Dollar,932,2,ZIMBABWE
